recipe_code,list_korean
486,고춧가루
486,국간장
486,맛술
486,다진마늘
486,다진생강
486,후춧가루
486,소금
486,참기름
486,오징어
485,청주
485,간장
485,홍고추
485,참기름
485,올리브오일
485,청고추
485,양파
485,표고버섯
485,피망
485,마늘
485,새송이버섯
485,청정원순창쌈장
485,물
485,쪽파
485,다진마늘
485,설탕
484,파프리카
484,팽이버섯
484,새우
484,오징어
484,바지락
484,날치알
484,파프리카
484,소금
484,후춧가루
484,굴소스
484,밥
484,참기름
484,청주
483,양배추
483,새우
483,실파
483,베이컨
483,굴소스
483,가쯔오브시
483,양파
483,팽이버섯
483,소금
483,후춧가루
483,밀가루
483,다시물
483,계란
483,마요네즈
482,두부
482,청고추
482,홍고추
482,소금
482,굴소스
482,물
482,참기름
482,다진마늘
481,신김치
481,돼지고기안심
481,청정원국선생
481,표고버섯
481,식용유
481,청고추
481,후춧가루
481,맛술
481,대파
480,홍합
480,모시조개
480,무
480,홍고추
480,대파
480,미나리
480,고춧가루
480,다진마늘
480,다진생강
480,고추장
480,소금
480,후춧가루
480,다시마
480,청고추
480,쭈꾸미
480,간장
480,오징어
480,새우
480,양파
479,청고추
479,홍고추
479,오이
479,당근
479,새우
479,참기름
479,후춧가루
479,굴소스
479,꽃빵
479,새송이버섯
479,청주
479,포도씨유
478,포도씨유
478,두부
478,파프리카
478,식초
478,소금
478,후춧가루
478,간장
478,칵테일새우
477,참치통조림
477,당근
477,감자
477,표고버섯
477,불린쌀
477,애호박
477,국간장
477,깨소금
477,실파
477,물
477,다시마
477,참기름
476,닭
476,맛술
476,맛술
476,소금
476,후춧가루
476,호두
476,계란
476,녹말가루
476,튀김가루
476,카레가루
476,고추장
476,토마토케첩
476,물엿
476,꿀
476,물
476,식초
476,다진마늘
476,고추기름
476,우유
475,다진마늘
475,물
475,국간장
475,소금
475,후춧가루
475,밀가루
475,물
475,된장
475,표고버섯
475,감자
475,대파
475,양파
475,청고추
475,홍고추
475,국물용멸치
475,참기름
474,닭가슴살
474,양상추
474,겨자잎
474,양파
474,당근
474,오이
474,마른고추
474,허니머스터드
474,레몬즙
474,설탕
474,소금
474,청주
474,다진마늘
474,오렌지
473,비트
473,절임무
473,오이
473,게맛살
473,파프리카
473,네모난햄
473,레몬즙
473,계란
473,땅콩버터
473,꿀
473,설탕
473,식초
473,깨소금
473,무순
472,돼지등갈비
472,샐러리
472,양파
472,마늘
472,후춧가루
472,레드와인
472,올리브오일
472,소금
472,바베큐소스
471,부추
471,올리브오일
471,[양념장] 다진파
471,다진마늘
471,통깨
471,식초
471,고춧가루
471,설탕
471,간장
470,팽이버섯
470,식용유
470,청피망
470,홍피망
470,간장
470,표고버섯
470,다진마늘
470,참기름
470,소금
470,후춧가루
470,느타리버섯
470,설탕
469,가지
469,부추
469,다진파
469,다진마늘
469,소금
469,고춧가루
469,액젓
469,설탕
469,다진생강
468,상추
468,미소된장
468,실파
468,가다랑이포
468,두부
468,다시마
467,파스타
467,생크림
467,양파
467,후춧가루
467,다진마늘
467,베이컨
467,우유
467,버터
467,소금
466,멥쌀가루
466,물
466,소금
466,단호박
466,녹두
466,설탕
465,토란탕
465,표고버섯
465,닭고기
465,우엉
465,당근
465,식용유
465,맛술
465,설탕
465,생강즙
465,청주
465,간장
464,시금치나물
464,도라지나물
464,고사리나물
464,고기산적
464,소스
464,깻잎
464,양파
464,오이
464,라이스페이퍼
464,당근
463,소꼬리
463,사골
463,마늘
463,대파
463,밤
463,청양고추
463,대추
462,소금
462,버터
462,샐러드오일
462,통후추
462,대하
462,아스파라거스
462,새송이버섯
462,느타리버섯
462,애호박
462,가지
462,감자
462,마늘
462,타임
462,바질
462,와사비
461,전어
461,무
461,미나리
461,청고추
461,콩가루
461,고춧가루
461,양파
461,고추장
461,다진마늘
461,설탕
461,전어젓갈
461,통깨
461,식초
460,날콩가루
460,밀가루
460,닭
460,소금
460,통파
460,생강
460,오이
460,닭발
459,서리태콩
459,소면
459,참깨
459,오이
459,토마토
459,소금
458,콩
458,깨
458,잣
458,소금
458,식빵
458,버터
458,후춧가루
458,호두
457,우무
457,콩
457,깨
457,소금
457,생수
457,오이
457,잣
456,메주콩
456,녹차국수
456,오이
456,소금
456,물
456,육수
456,방울토마토
455,대파
455,홍고추
455,통깨
455,멸치액젓
455,시금치
455,물
455,소금
455,참기름
454,죽순
454,미나리
454,계란
454,쌀뜨물
454,[초고추장] 고추장
454,설탕
454,식초
454,홍고추
453,전복
453,쌀
453,물
453,김
453,소금
453,깨소금
453,실파
453,참기름
452,쌀
452,새우
452,물
452,참기름
452,소금
451,낙지
451,모시조개
451,배추
451,참기름
451,소금
451,청고추
451,홍고추
451,소금
451,대파
451,다진마늘
450,시금치
450,계란
450,올리브오일
450,소금
450,게맛살
449,돼지갈비
449,다진마늘
449,저민마늘
449,마른고추
449,올리브오일
449,화이트와인
449,물
449,소금
449,후춧가루
449,레몬
448,파프리카
448,찬밥
448,감자
448,호박
448,올리브오일
448,양파
448,당근
448,소금
448,후춧가루
448,피망
447,배
447,양파
447,마늘
447,생강
447,고운소금
447,굵은소금
447,붉은갓
447,삭힌고추
447,물
447,무
446,깻잎
446,밤
446,홍고추
446,청고추
446,다진마늘
446,대추
446,물
446,양파
446,다진생강
446,멸치
446,멸치액젓
446,설탕
446,대파
445,멸치
445,다시마
445,표고버섯
445,애호박
445,청고추
445,홍고추
445,두부
445,순창콩된장
445,고춧가루
445,다진마늘
445,대파
445,참기름
444,근대
444,쇠고기
444,다진마늘
444,멸치
444,고춧가루
444,된장
444,고추장
444,대파
443,고구마
443,시럽
443,튀김기름
443,호박씨
443,건포도
442,메주콩
442,멥쌀
442,엿기름
442,고춧가루
442,소금
442,찹쌀가루
441,소금
441,메주
440,메주콩
440,소금
440,숯
440,마른고추
440,물
439,물
439,설탕
439,양파
439,마늘
439,생강
439,미나리
439,정종
439,열무
439,얼갈이배추
